train_losses,train_accuracies,test_losses,test_accuracies,epoch
0.08253083118608505,0.9740466101694916,0.09010044299294333,0.971604938271605,74
0.08081284443989901,0.9740466101694916,0.08723795878262643,0.971604938271605,75
0.07912478885037225,0.9745762711864406,0.08527591706746641,0.971604938271605,76
0.0773767367966268,0.9745762711864406,0.08851841262395621,0.971604938271605,77
0.07568654902792393,0.975635593220339,0.0811768438251616,0.9728395061728395,78
0.07397193957210944,0.9798728813559322,0.08030655609407261,0.9777777777777777,79
0.07225341925208094,0.9846398305084746,0.07730196414780163,0.980246913580247,80
0.07057613581793888,0.9841101694915254,0.07506299138642099,0.9864197530864197,81
0.0688439833051604,0.9872881355932204,0.073152414253712,0.9864197530864197,82
0.06715807341773189,0.9872881355932204,0.07132047767677874,0.9864197530864197,83
0.06543404244871068,0.9878177966101694,0.07107424774828057,0.9864197530864197,84
